Party,Name,Constituency,ConstituencyVote,Constituency.,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,ConstituencyPercent,LeavePercent,SecondVote1,SecondVote2,SecondVote3,SecondVote4,PartyGroup,BetterLeavePercent
Lab,Stephen Kinnock,Aberavon,Leave,60,For,Abstain,For,For,Abstain,Against,Against,For,60,60,For,For,For,Abstain,Lab,0.5996545077
Con,Guto Bebb,Aberconwy,Leave,53,For,For,Against,Against,For,Against,Against,For,53,53,Against,For,For,For,Con,0.5338379841
SNP,Kirsty Blackman,Aberdeen North,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against,57,43,Abstain,For,For,For,Other,0.4309975547
Con,Ross Thomson,Aberdeen South,Remain,68,Against,Against,Against,Against,Against,For,For,Against,68,32,Against,Against,Against,Against,Con,0.3232565417
SNP,Neil Gray,Airdrie and Shotts,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against,60,40,Abstain,For,For,For,Other,0.4005130754
Con,Leo Docherty,Aldershot,Leave,58,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,58,58,Against,Against,Against,Against,Con,0.5789776574
Con,Wendy Morton,Aldridge Brownhills,Leave,68,Against,Against,Against,Against,Against,For,Against,Against,68,68,Against,Against,Against,Against,Con,0.6779634958
Con,Sir Graham Brady,Altrincham and Sale West,Remain,62,Against,Against,Against,Against,Against,Against,Against,Against,62,38,Against,Against,Against,Against,Con,0.3846870964
Lab,Mark Tami,Alyn and Deeside,Leave,58,For,For,For,Abstain,Abstain,Against,Against,Abstain,58,58,For,For,For,Abstain,Lab,0.5774788291
Con,Nigel Mills,Amber Valley,Leave,65,Against,Against,Against,Against,Against,For,For,Against,65,65,Against,Against,Against,Against,Con,0.6533921445
Con,Kirstene Hair,Angus,Remain,52,Against,Against,Against,Against,Against,Abstain,Abstain,Against,52,48,Against,Against,Against,Against,Con,0.4813276871
PC,Hywel Williams,Arfon,Remain,65,Abstain,For,Abstain,For,For,Against,Against,Abstain,65,35,Abstain,For,For,For,Other,0.3490749007
SNP,Brendan O'Hara,Argyll and Bute,Remain,61,Abstain,For,Abstain,Abstain,For,Against,Against,Against,61,39,Abstain,For,For,For,Other,0.3943239691
Con,Nick Herbert,Arundel and South Downs,Leave,51,For,Against,Against,For,Against,Against,Against,For,51,51,For,Against,For,Against,Con,0.5068538363
