"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"Lab","Lab",0.5996545077,"Third","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","For","For","For","For","Abstain","Stephen Kinnock","Aberavon"
"Con","Con",0.5338379841,"Second","Leave","Leave","For","For","Against","Against","For","Against","Against","For","Against","For","For","For","Guto Bebb","Aberconwy"
"SNP","Other",0.4309975547,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Kirsty Blackman","Aberdeen North"
"Con","Con",0.3232565417,"First","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Ross Thomson","Aberdeen South"
"SNP","Other",0.4005130754,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Neil Gray","Airdrie and Shotts"
"Con","Con",0.5789776574,"Third","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Against","Against","Against","Against","Leo Docherty","Aldershot"
"Con","Con",0.6779634958,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Wendy Morton","Aldridge Brownhills"
"Con","Con",0.3846870964,"First","Remain","Remain","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Sir Graham Brady","Altrincham and Sale West"
"Lab","Lab",0.5774788291,"Third","Leave","Leave","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","For","Abstain","Mark Tami","Alyn and Deeside"
"Con","Con",0.6533921445,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Nigel Mills","Amber Valley"
"Con","Con",0.4813276871,"Second","Remain","Remain","Against","Against","Against","Against","Against","Abstain","Abstain","Against","Against","Against","Against","Against","Kirstene Hair","Angus"
"PC","Other",0.3490749007,"First","Remain","Remain","Abstain","For","Abstain","For","For","Against","Against","Abstain","Abstain","For","For","For","Hywel Williams","Arfon"
"SNP","Other",0.3943239691,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Brendan O'Hara","Argyll and Bute"
"Con","Con",0.5068538363,"Second","Leave","Leave","For","Against","Against","For","Against","Against","Against","For","For","Against","For","Against","Nick Herbert","Arundel and South Downs"
"Lab","Lab",0.7057585002,"Fourth","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Abstain","For","Abstain","Gloria De Piero","Ashfield"
"Con","Con",0.596788819,"Third","StrongLeave","Leave","For","Against","Against","Against","Against","Against","Abstain","For","For","Against","Against","Against","Damian Green","Ashford"
"Lab","Lab",0.6180980255,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Angela Rayner","Ashton under Lyne"
"Con","Con",0.5210161337,"Second","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","David Lidington","Aylesbury"
"Con","Con",0.4298681805,"First","Remain","Remain","Against","Against","Against","Against","Against","Against","Against","For","Against","Against","For","Against","Bill Grant","Ayr Carrick and Cumnock"
"Con","Con",0.5053589533,"Second","Leave","Leave","Against","Against","Against","Abstain","Against","Against","Against","For","For","Against","Abstain","Against","Victoria Prentis","Banbury"
"Con","Con",0.5401840179,"Third","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","David Duguid","Banff and Buchan"
"Lab","Lab",0.6033002338,"Fourth","StrongLeave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Dame Margaret Hodge","Barking"
"Lab","Lab",0.6837815879,"Fourth","StrongLeave","Leave","For","Against","For","For","Abstain","Against","Against","Abstain","For","Against","For","Abstain","Dan Jarvis","Barnsley Central"
"Lab","Lab",0.7077794137,"Fourth","StrongLeave","Leave","For","Against","For","For","Abstain","Against","Against","Abstain","For","Against","For","Abstain","Stephanie Peacock","Barnsley East"
"Ind","Other",0.5678741119,"Third","Leave","Leave","Abstain","For","Against","Abstain","For","Against","Against","Against","Abstain","For","Abstain","For","John Woodcock","Barrow and Furness"
"Con","Con",0.669165671,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Abstain","Against","Against","Against","Against","Against","John Baron","Basildon and Billericay"
"Con","Con",0.5364191295,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Maria Miller","Basingstoke"
"Lab","Lab",0.6832485971,"Fourth","StrongLeave","Leave","Against","Against","For","Against","Against","Against","Against","Against","Against","Against","Against","Against","John Mann","Bassetlaw"
