Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8
Lab,Graham P Jones,Hyndburn,Leave,66,For,For,For,Abstain,Abstain,Against,Against,Against
Lab,Diane Abbott,Hackney North and Stoke Newington,Remain,79,For,For,For,For,Abstain,Against,Against,Abstain
Con,Nigel Adams,Selby and Ainsty,Leave,58,Against,Against,Against,Against,Against,Abstain,For,Against
Con,Bim Afolami,Hitchin and Harpenden,Remain,60,Abstain,Against,Against,For,Against,Against,Abstain,For
Con,Adam Afriyie,Windsor,Remain,54,Against,Against,Against,Against,Against,For,For,Against
Con,Peter Aldous,Waveney,Leave,63,Against,Against,Against,Against,Against,Against,Against,For
Lab,Rushanara Ali,Bethnal Green and Bow,Remain,69,For,For,For,For,For,Against,Against,Against
Con,Lucy Allan,Telford,Leave,67,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
TIG,Heidi Allen,South Cambridgeshire,Remain,62,Against,For,Against,Against,For,Against,Abstain,Against
Lab,Rosena Allin-Khan,Tooting,Remain,75,For,For,For,Against,For,Against,Against,Against
Lab,Mike Amesbury,Weaver Vale,Leave,50,For,For,For,For,Abstain,Against,Against,Abstain
Con,Sir David Amess,Southend West,Leave,55,Against,Against,Against,Against,Against,For,For,Against
Con,Stuart Andrew,Pudsey,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Lab,Tonia Antoniazzi,Gower,Leave,50,For,For,For,Against,For,Against,Against,Against
Con,Edward Argar,Charnwood,Leave,58,Against,Against,Against,Against,Against,Abstain,Against,Against
Lab,Jonathan Ashworth,Leicester South,Remain,57,For,For,For,For,Abstain,Against,Against,Abstain
Con,Victoria Atkins,Louth and Horncastle,Leave,69,Against,Against,Against,Against,Against,Against,Against,Against
Ind,Ian Austin,Dudley North,Leave,71,For,Against,For,For,Abstain,Against,Against,Abstain
Con,Richard Bacon,South Norfolk,Leave,51,Against,Against,Against,Against,Against,For,For,Against
Con,Kemi Badenoch,Saffron Walden,Leave,51,Against,Against,Against,Against,Against,Abstain,For,Against
Lab,Adrian Bailey,West Bromwich West,Leave,69,For,For,For,For,Abstain,Against,Against,Abstain
Con,Steve Baker,Wycombe,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Con,Harriett Baldwin,West Worcestershire,Leave,53,Against,Against,Against,Against,Against,Abstain,Abstain,Abstain
Con,Stephen Barclay,North East Cambridgeshire,Leave,69,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Hannah Bardell,Livingston,Remain,56,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,John Baron,Basildon and Billericay,Leave,67,Against,Against,Against,Against,Against,For,Abstain,Against
Lab,Sir Kevin Barron,Rother Valley,Leave,67,For,Against,Abstain,Against,Against,Against,Against,Against
Con,Guto Bebb,Aberconwy,Leave,53,For,For,Against,Against,For,Against,Against,For
Lab,Margaret Beckett,Derby South,Leave,62,For,For,For,Abstain,Abstain,Against,Against,Abstain
SF,Órfhlaith Begley,West Tyrone,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Sir Henry Bellingham,North West Norfolk,Leave,66,Against,Against,Against,Against,Against,For,For,Against
Lab,Hilary Benn,Leeds Central,Remain,53,For,For,For,For,Abstain,Against,Against,Abstain
Con,Richard Benyon,Newbury,Remain,52,For,Against,Against,For,Against,Against,Against,Against
Oth,John Bercow,Buckingham,Remain,51,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Sir Paul Beresford,Mole Valley,Remain,52,Against,Against,Against,Against,Against,Against,Against,Against
TIG,Luciana Berger,Liverpool - Wavertree,Remain,64,Against,For,Against,Against,For,Against,Against,Against
Con,Jake Berry,Rossendale and Darwen,Leave,59,Against,Against,Against,Against,Against,For,Against,Against
Lab,Clive Betts,Sheffield South East,Leave,66,For,For,For,For,For,Against,Against,Against
SNP,Mhairi Black,Paisley and Renfrewshire South,Remain,66,Abstain,For,Abstain,Abstain,For,Against,Against,Against
SNP,Ian Blackford,Ross - Skye and Lochaber,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Bob Blackman,Harrow East,Remain,53,Against,Against,Against,Against,Against,For,For,For
SNP,Kirsty Blackman,Aberdeen North,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Roberta Blackman-Woods,City of Durham,Remain,56,For,For,For,For,For,Against,Against,Abstain
Lab,Paul Blomfield,Sheffield Central,Remain,70,For,For,For,For,For,Against,Against,Against
Con,Crispin Blunt,Reigate,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Con,Nick Boles,Grantham and Stamford,Leave,61,For,Abstain,Against,For,Against,Against,Against,For
Con,Peter Bone,Wellingborough,Leave,63,Against,Against,Against,Against,Against,For,For,Against
Con,Sir Peter Bottomley,Worthing West,Leave,56,Against,Against,Against,Against,Against,Against,Abstain,Against
Con,Andrew Bowie,West Aberdeenshire and Kincardine,Remain,61,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Tracy Brabin,Batley and Spen,Leave,60,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Ben Bradley,Mansfield,Leave,71,Against,Against,Against,Against,Against,For,For,Against
Con,Karen Bradley,Staffordshire Moorlands,Leave,65,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Ben Bradshaw,Exeter,Remain,55,For,For,For,Abstain,For,Against,Against,Against
Con,Sir Graham Brady,Altrincham and Sale West,Remain,62,Against,Against,Against,Against,Against,Against,Against,Against
SF,Mickey Brady,Newry and Armagh,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
LD,Tom Brake,Carshalton and Wallington,Leave,56,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Con,Suella Braverman,Fareham,Leave,55,Against,Against,Against,Against,Against,For,For,Against
Lab,Kevin Brennan,Cardiff West,Remain,55,For,For,For,For,For,Against,Against,Abstain
Con,Jack Brereton,Stoke-on-Trent South,Leave,71,Against,Against,Against,Against,Against,For,For,Against
Con,Andrew Bridgen,North West Leicestershire,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Steve Brine,Winchester,Remain,60,For,Abstain,Against,For,Abstain,Against,Against,For
SNP,Deidre Brock,Edinburgh North and Leith,Remain,78,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,James Brokenshire,Old Bexley and Sidcup,Leave,63,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Alan Brown,Kilmarnock and Loudoun,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Lyn Brown,West Ham,Remain,53,For,For,For,Abstain,For,Against,Against,Against
Lab,Nicholas Brown,Newcastle upon Tyne East,Remain,59,For,For,For,For,Abstain,Against,Against,Abstain
Con,Fiona Bruce,Congleton,Leave,53,Against,Against,Against,Against,Against,For,For,Against
Lab,Chris Bryant,Rhondda,Leave,61,For,For,For,For,Abstain,Against,Against,Against
Lab,Karen Buck,Westminster North,Remain,67,For,For,For,Abstain,For,Against,Against,Against
Con,Robert Buckland,South Swindon,Leave,52,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Richard Burden,Birmingham - Northfield,Leave,62,For,For,For,For,Abstain,Against,Against,Against
Con,Alex Burghart,Brentwood and Ongar,Leave,61,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Lab,Richard Burgon,Leeds East,Leave,61,For,For,For,For,Abstain,Against,Against,Abstain
Con,Conor Burns,Bournemouth West,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Alistair Burt,North East Bedfordshire,Leave,53,For,Abstain,Against,For,Abstain,Against,Against,For
Lab,Dawn Butler,Brent Central,Remain,57,For,For,For,Abstain,Abstain,Against,Against,Against
Lab,Liam Byrne,Birmingham - Hodge Hill,Leave,51,For,For,For,For,Abstain,Against,Against,Abstain
LD,Sir Vince Cable,Twickenham,Remain,66,Abstain,For,Against,Abstain,For,Against,Against,Against
Lab,Ruth Cadbury,Brentford and Isleworth,Remain,57,For,For,For,Against,For,Against,Against,Against
Con,Alun Cairns,Vale of Glamorgan,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Lisa Cameron,East Kilbride - Strathaven and Le...,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Sir Alan Campbell,Tynemouth,Remain,52,For,For,For,Abstain,Abstain,Against,Against,Abstain
DUP,Gregory Campbell,East Londonderry,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Lab,Ronnie Campbell,Blyth Valley,Leave,60,Against,Against,Against,Against,Against,For,Against,For
Lab,Dan Carden,Liverpool - Walton,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain
LD,Alistair Carmichael,Orkney and Shetland,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Con,James Cartlidge,South Suffolk,Leave,54,Against,Against,Against,For,Against,Against,Against,For
Con,Sir William Cash,Stone,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Maria Caulfield,Lewes,Remain,53,Against,Against,Against,Against,Against,For,For,For
Con,Alex Chalk,Cheltenham,Remain,57,For,Abstain,Against,Against,Abstain,Against,Against,Against
Lab,Sarah Champion,Rotherham,Leave,68,For,Against,For,Against,Against,Against,Against,Against
SNP,Douglas Chapman,Dunfermline and West Fife,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Jenny Chapman,Darlington,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Bambos Charalambous,Enfield - Southgate,Remain,62,For,For,For,For,For,Against,Against,Abstain
SNP,Joanna Cherry,Edinburgh South West,Remain,72,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Rehman Chishti,Gillingham and Rainham,Leave,64,Against,Against,Against,Against,Against,For,Abstain,Against
Con,Sir Christopher Chope,Christchurch,Leave,60,Against,Against,Against,Against,Against,For,For,Against
