Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Lab,Graham P Jones,Hyndburn,Leave,66,For,For,Abstain,Abstain
Lab,Diane Abbott,Hackney North and Stoke Newington,Remain,80,For,For,For,Abstain
Con,Nigel Adams,Selby and Ainsty,Leave,58,Against,Against,Against,Against
Con,Bim Afolami,Hitchin and Harpenden,Remain,60,Abstain,Abstain,For,Against
Con,Adam Afriyie,Windsor,Remain,53,Against,Against,Against,Against
Con,Peter Aldous,Waveney,Leave,63,Against,Against,Against,Against
Lab,Rushanara Ali,Bethnal Green and Bow,Remain,69,For,For,For,For
Con,Lucy Allan,Telford,Leave,66,Against,Against,Against,Against
TIG,Heidi Allen,South Cambridgeshire,Remain,62,Against,For,Against,For
Lab,Rosena Allin-Khan,Tooting,Remain,74,For,For,For,For
Lab,Mike Amesbury,Weaver Vale,Leave,51,For,For,For,Abstain
Con,Sir David Amess,Southend West,Leave,55,Against,Against,Against,Against
Con,Stuart Andrew,Pudsey,Remain,51,Against,Against,Against,Against
Lab,Tonia Antoniazzi,Gower,Remain,51,For,For,Against,For
Con,Edward Argar,Charnwood,Leave,58,Against,Against,Against,Against
Lab,Jonathan Ashworth,Leicester South,Remain,58,For,For,For,Abstain
Con,Victoria Atkins,Louth and Horncastle,Leave,69,Against,Against,Against,Against
Ind,Ian Austin,Dudley North,Leave,71,Abstain,Against,For,Against
Con,Richard Bacon,South Norfolk,Leave,51,Against,Against,Against,Against
Con,Kemi Badenoch,Saffron Walden,Leave,51,Against,Against,Against,Against
Lab,Adrian Bailey,West Bromwich West,Leave,69,For,For,For,For
Con,Steve Baker,Wycombe,Remain,52,Against,Against,Against,Against
Con,Harriett Baldwin,West Worcestershire,Leave,53,Against,Against,Against,Against
Con,Stephen Barclay,North East Cambridgeshire,Leave,69,Abstain,Abstain,Abstain,Abstain
SNP,Hannah Bardell,Livingston,Remain,57,Abstain,For,For,For
Con,John Baron,Basildon and Billericay,Leave,67,Against,Against,Against,Against
Lab,Sir Kevin Barron,Rother Valley,Leave,67,For,Against,Against,Against
Con,Guto Bebb,Aberconwy,Leave,52,Against,For,For,For
Lab,Margaret Beckett,Derby South,Leave,61,For,For,For,Abstain
SF,Órfhlaith Begley,West Tyrone,Remain,67,Abstain,Abstain,Abstain,Abstain
Con,Sir Henry Bellingham,North West Norfolk,Leave,66,Against,Against,Against,Against
Lab,Hilary Benn,Leeds Central,Remain,54,For,For,For,Abstain
Con,Richard Benyon,Newbury,Remain,52,For,Against,For,Against
Oth,John Bercow,Buckingham,Remain,51,Abstain,Abstain,Abstain,Abstain
Con,Sir Paul Beresford,Mole Valley,Remain,53,Against,Against,Against,Against
TIG,Luciana Berger,Liverpool - Wavertree,Remain,65,Against,For,Against,For
Con,Jake Berry,Rossendale and Darwen,Leave,59,Against,Against,Against,Against
Lab,Clive Betts,Sheffield South East,Leave,66,For,For,For,Abstain
SNP,Mhairi Black,Paisley and Renfrewshire South,Remain,65,Abstain,For,For,For
SNP,Ian Blackford,Ross - Skye and Lochaber,Remain,56,Abstain,For,For,For
Con,Bob Blackman,Harrow East,Remain,53,Against,Against,Against,Against
SNP,Kirsty Blackman,Aberdeen North,Remain,57,Abstain,For,For,For
Lab,Roberta Blackman-Woods,City of Durham,Remain,57,For,For,For,For
Lab,Paul Blomfield,Sheffield Central,Remain,68,For,For,For,For
